drep_id,name,ref_proposal_vote,target_proposal_vote,status,voting_power_ada
drep1ygtvnwgsucstvesms2hv9vc8hw3tye5zhzldmszrxqd2rxsje5c6m,Lourde,Yes,Abstain,Changed Vote,50567
drep1y28fu7xdmvz2yhjlykln3ktzk98skwfdjkguxy2uhe8e3nq3u00em,,Yes,Not Voted,Not Voted on Target,335
drep1y29h2q6cst2pvkl2sqqvf5ljcy36uv7pmy482xnczddzgqshus24w,Eternl DRep Committee,Yes,Abstain,Changed Vote,224216159
drep1y2rtf58m0lv9spcqx5mads20gpfulf6l97w57ecdy00vjdq0klh4l,Dumpling🥟,Abstain,Not Voted,Not Voted on Target,77289882
drep1y2u2848fer43ghnyhyadhaqd2ek4q9x09h2y0sxev5gklcgnx3qyp,God BLESS You,Yes,Not Voted,Not Voted on Target,3046151
drep1ytcy6lfas0zu4axuzw2ncal2k2mh6u8srt5c63fpgq3zg8cd2437d,CASIA- Cardano Asia Team,Yes,Not Voted,Not Voted on Target,48458
drep1yt5u3kgdjqxh0g2ujmk0g8djq2hlyve9gj0hpmasnjzy0zsqjv5eu,Adastra,Yes,Yes,Same Vote,137392
drep1yg7svuv02gh9j2q574jv06l4xnzwyp63effljze28qe993caj8ras,BRIAN,Yes,Yes,Same Vote,934040
drep1ytxr0lhg5j72wysva9ac2gsn4lck4gyen8ywxkqfchsqg3qs8uy44,GAIA,No,Not Voted,Not Voted on Target,2712595
drep1yfpwp2v9kmgqn3trvjvs2s7yp9y60xcgxqnut6h2tw68y8svcqqxf,Liudmila Korovina,Yes,Not Voted,Not Voted on Target,48550
drep1ytfk5wuppxfm9a8lp4acdhq2ffwdaxauep09upfa7zzsl3s0lf9ge,Remostart,Yes,Not Voted,Not Voted on Target,133851
drep1y2eu92qwy875nlslg3ahlh0hy5vhzpkrjay88ptvdp0z6cqm9h25x,Tempo.Vote,No,Not Voted,Not Voted on Target,48558663
drep1ygj6hupsan57ujlv6l0vw9naxzt5753uhpe79nluymqzlcq7fe4vs,ranket,Yes,Yes,Same Vote,75238824
drep1y2v2ncht76apatlnxgtz8h8zy943avf7padqkkvycmzmcpcre7fek,concon,Yes,Yes,Same Vote,10899424
drep1y2utmer3m25qvcfrmglld88yueq9se3d8hqjnj20wk4q0cgz92za6,Victor.Villagomez,Yes,No,Changed Vote,238745
drep1yfg2u28p4xuh5u5lv839vcfd6k2knptfw0avtefpyw4x3dsu5pu25,CoinCeylon,Yes,Yes,Same Vote,4804417
drep1yfdfs28uwafjgmrkatdektlzrvha2cmvqjhuz700e04mawq23rmrg,Chris Cata,Yes,Yes,Same Vote,5881271
drep1y23dht7za96q7myf6ewrgjzthrkz7c5ntahafj37muw9slstejf2a,,Yes,Not Voted,Not Voted on Target,262526
drep1y2dnsj0taktxwmzwf4a7sp0mg3rvm3jsetag0h0m83khs3c7d3l6x,AtlasHub,Yes,No,Changed Vote,2038067
drep1yfp4qmp849250svle8gw2m5jwjra86e76q8vz97wp998feg9mx9c5,Moonstake,Yes,Abstain,Changed Vote,20140746
drep1yfaaaaa270yjt6tu5skndugekprf5ykv5jshanl0c6gqx5qpstskf,,Yes,Not Voted,Not Voted on Target,27328059
drep1yf6xkrz2w4fdkwjw9u98u3pmzk7c7a0amq95hakcj649dns2r4upl,,Yes,Yes,Same Vote,55931
drep1ydwtnlvdd8atlj5c5ylgw4kg5e640vyt8resattrjmwufyg4qclf7,,Yes,Not Voted,Not Voted on Target,986987
drep1y2ecrj7jd9alaxumvm49hgng9rp239nda5ucegd05ndvxfqftwr9f,Voice of the People,Abstain,Yes,Changed Vote,1469029
drep1yfzzwr8jznn02mzepvs6y9n4329eskzpgygjdh4ew28szpcd5hr4f,Farid_CZ,Yes,Abstain,Changed Vote,187196
drep1y22gmm9yrmm4apv65ku433v05q5ywqxknjszyq0klf3mcxsfpnxh8,HyperlinkPool_SPO,Yes,Not Voted,Not Voted on Target,1652689
drep1yg6lvx8hrsjgex7f2p5waz5hqmwxzn7u8xljsuastt7s3qckz3maz,Minh Le,Yes,Not Voted,Not Voted on Target,10626
drep1y2t3t35yx7j8nnh3wkqn2zzhgwqksksn85zv62pjrwzjawczwgyv7,No stress,No,Abstain,Changed Vote,2514370
drep1yfe9en4hsgc3r6nhtmwjeljh06hgnvt9yzzkwqcftvdj34cdxdg7u,AdaStat,Yes,Abstain,Changed Vote,49940360
